id,auto_doc_no,order_no,order_date,customer_name,product_name,weight_label,sale_qty,total_weight_grams,sales_key,inventory_issue_code,inventory_code,inventory_name,issue_factor,issue_qty,inventory_unit,suggested_lot_code,suggested_exp_date,suggested_lot_qty_before,suggested_lot_cumulative_auto,consumed_lot_code,consumed_lot_barcode,lot_qty_before,lot_qty_after,fefo_check,status,source_row
729ad2da-e289-52d7-ae5b-2bb127b0bbc0,AUTO-0042,DH0008,2026-03-17,Huyền dạy yoga cổng vào Vista,Tôm gừng tỏi,100g,1,100,Tôm gừng tỏi | 100g,TP011,TP011,Tôm gừng tỏi,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,44
7aa8cf56-32b7-5c19-82ce-59f869788607,AUTO-0043,DH0009,2026-03-18,Anh Trung Vista,Ứ́c gà gừng tỏi,200g,1,200,Ứ́c gà gừng tỏi | 200g,TP003,TP003,Ứ́c gà gừng tỏi,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,45
ff85a39f-88f9-5351-8d25-184d2e272c2c,AUTO-0044,DH0009,2026-03-18,Anh Trung Vista,Ức gà ngũ vị,200g,1,200,Ức gà ngũ vị | 200g,TP002,TP002,Ức gà ngũ vị,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,46
785bf4d6-0a78-55a0-ac06-fb5872250dfe,AUTO-0045,DH0009,2026-03-18,Anh Trung Vista,Ức gà̀ cà ri,200g,1,200,Ức gà̀ cà ri | 200g,TP004,TP004,Ức gà̀ cà ri,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,47
556d602f-5a71-56ef-9bd4-dd87e09cee1a,AUTO-0046,DH0009,2026-03-18,Anh Trung Vista,Nạc heo sả nghệ,200g,1,200,Nạc heo sả nghệ | 200g,TP007,TP007,Nạc heo sả nghệ,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,48
cd08a7b5-acd7-5032-883b-fece10b0487a,AUTO-0047,DH0009,2026-03-18,Anh Trung Vista,Cốt lết gừng tỏi,200g,1,200,Cốt lết gừng tỏi | 200g,TP006,TP006,Cốt lết gừng tỏi,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,49
52d2a202-cf09-581c-acee-6529c8f4d76c,AUTO-0048,DH0010,2026-03-19,Phụng Huỳnh,Tôm cajun,100g,1,100,Tôm cajun | 100g,TP012,TP012,Tôm cajun,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,50
1384f068-4798-5559-86d5-4e8f9a36322b,AUTO-0049,DH0010,2026-03-19,Phụng Huỳnh,Tôm gừng tỏi,100g,1,100,Tôm gừng tỏi | 100g,TP011,TP011,Tôm gừng tỏi,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,51
be219466-371c-5747-b054-34a7c2db8d6b,AUTO-0050,DH0010,2026-03-19,Phụng Huỳnh,Cá thu cà ri,100g,1,100,Cá thu cà ri | 100g,TP013,TP013,Cá thu cà ri,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,52
de3e1df6-c277-5d4f-9973-4cd528e1fddd,AUTO-0051,DH0010,2026-03-19,Phụng Huỳnh,Ứ́c gà gừng tỏi,100g,1,100,Ứ́c gà gừng tỏi | 100g,TP003,TP003,Ứ́c gà gừng tỏi,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,53
7ec60283-2d81-55ab-b300-eb84e4345a40,AUTO-0052,DH0010,2026-03-19,Phụng Huỳnh,Ức gà ngũ vị,100g,1,100,Ức gà ngũ vị | 100g,TP002,TP002,Ức gà ngũ vị,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,54
61673db5-694e-57ec-bb76-850fea3200ca,AUTO-0053,DH0011,2026-03-19,Bé Quỳnh,Ức gà cajun,150g,1,150,Ức gà cajun | 150g,TP001,TP001,Ức gà cajun,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,55
3ed15072-fe2b-5974-a85b-fe5c2487b851,AUTO-0054,DH0011,2026-03-19,Bé Quỳnh,Ức gà ngũ vị,150g,1,150,Ức gà ngũ vị | 150g,TP002,TP002,Ức gà ngũ vị,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,56
70ffd0b0-08f1-594a-afd0-16f7b5f17422,AUTO-0055,DH0011,2026-03-19,Bé Quỳnh,Ức gà̀ cà ri,150g,1,150,Ức gà̀ cà ri | 150g,TP004,TP004,Ức gà̀ cà ri,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,57
0ab3d897-e6e0-5bf4-abd3-6c5620fe6f33,AUTO-0056,DH0012,2026-03-20,Mai Thị Khuyên,Ứ́c gà gừng tỏi,150g,1,150,Ứ́c gà gừng tỏi | 150g,TP003,TP003,Ứ́c gà gừng tỏi,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,58
d3e14069-a1b4-5154-b0a0-7d930a955fed,AUTO-0057,DH0012,2026-03-20,Mai Thị Khuyên,Ức gà ngũ vị,150g,1,150,Ức gà ngũ vị | 150g,TP002,TP002,Ức gà ngũ vị,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,59
38e59a0b-bc7f-59be-b7d5-0b45b2d8bfba,AUTO-0058,DH0012,2026-03-20,Mai Thị Khuyên,Ức gà cajun,150g,1,150,Ức gà cajun | 150g,TP001,TP001,Ức gà cajun,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,60
1d7e8731-2f87-50a5-95e0-b0aeb45e4593,AUTO-0059,DH0012,2026-03-20,Mai Thị Khuyên,Thăn bò ngũ vị,150g,1,150,Thăn bò ngũ vị | 150g,TP009,TP009,Thăn bò ngũ vị,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,61
478b852c-2f9c-5633-bdba-5ae5ba6e4d37,AUTO-0060,DH0012,2026-03-20,Mai Thị Khuyên,Tôm gừng tỏi,150g,1,150,Tôm gừng tỏi | 150g,TP011,TP011,Tôm gừng tỏi,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,62
5cc389b9-bf6d-5dae-a5fb-1d054e2fef99,AUTO-0061,DH0013,2026-03-21,Bích Trinh,Nạc heo sả nghệ,200g,1,200,Nạc heo sả nghệ | 200g,TP007,TP007,Nạc heo sả nghệ,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,63
d353d4a0-f837-5cfd-a3ce-4cf86533290d,AUTO-0062,DH0013,2026-03-21,Bích Trinh,Nạ̣c heo ngũ vị,150g,1,150,Nạ̣c heo ngũ vị | 150g,TP008,TP008,Nạ̣c heo ngũ vị,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,64
6f59120a-e5b8-5e09-b1e5-261b29d2733a,AUTO-0063,DH0013,2026-03-21,Bích Trinh,Thăn bò ngũ vị,121g,2,242,Thăn bò ngũ vị | 121g,TP009,TP009,Thăn bò ngũ vị,1,2,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,65
d8f54a20-9274-5901-b381-87c622420e07,AUTO-0064,DH0013,2026-03-21,Bích Trinh,Tôm gừng tỏi,108g,1,108,Tôm gừng tỏi | 108g,TP011,TP011,Tôm gừng tỏi,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,66
084ff88d-3543-59c9-87d4-c5d93f748016,AUTO-0065,DH0014,2026-03-21,Bé Huyền (Q2),Tôm cajun,80g,1,80,Tôm cajun | 80g,TP012,TP012,Tôm cajun,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,67
bb4b1bb4-0b64-54cb-ae13-8aced73b02ef,AUTO-0066,DH0014,2026-03-21,Bé Huyền (Q2),Nạ̣c heo ngũ vị,100g,1,100,Nạ̣c heo ngũ vị | 100g,TP008,TP008,Nạ̣c heo ngũ vị,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,68
bd4c8aa6-f603-50ce-b9ad-ff2488ad15b7,AUTO-0067,DH0014,2026-03-21,Bé Huyền (Q2),Ứ́c gà gừng tỏi,100g,1,100,Ứ́c gà gừng tỏi | 100g,TP003,TP003,Ứ́c gà gừng tỏi,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,69
eaced737-f447-5014-9905-7f75db3c13ce,AUTO-0068,DH0014,2026-03-21,Bé Huyền (Q2),Cốt lết gừng tỏi,135g,1,135,Cốt lết gừng tỏi | 135g,TP006,TP006,Cốt lết gừng tỏi,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,70
377e8f6e-56ef-59da-8221-7357da48847e,AUTO-0069,DH0015,2026-03-23,Ms. Vân (Q1),Thăn bò̀ cajun,120g,2,240,Thăn bò̀ cajun | 120g,TP010,TP010,Thăn bò̀ cajun,1,2,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,71
79f13600-9b79-5423-bbf4-791e19ba08d5,AUTO-0070,DH0015,2026-03-23,Ms. Vân (Q1),Ức gà̀ cà ri,150g,1,150,Ức gà̀ cà ri | 150g,TP004,TP004,Ức gà̀ cà ri,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,72
688823dc-9dca-558b-984a-79e5ddf14894,AUTO-0071,DH0015,2026-03-23,Ms. Vân (Q1),Ức gà ngũ vị,136g,1,136,Ức gà ngũ vị | 136g,TP002,TP002,Ức gà ngũ vị,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,73
53354a8c-fe64-5e7f-82b0-d69a2350c68a,AUTO-0072,DH0015,2026-03-23,Ms. Vân (Q1),Nạc heo sả nghệ,115g,1,115,Nạc heo sả nghệ | 115g,TP007,TP007,Nạc heo sả nghệ,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,74
8bd06f9d-0468-5225-9d23-c4a484ab250b,AUTO-0073,DH0015,2026-03-23,Ms. Vân (Q1),Nạc heo sả nghệ,1900-05-09 00:00:00,1,130,Nạc heo sả nghệ | 130,TP007,TP007,Nạc heo sả nghệ,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,75
4a1ae993-34f2-5241-8e63-f7beb91dd33f,AUTO-0074,DH0016,2026-03-22,Chị Dung (A.Đức),Cá hồi kiểu âu,200g,1,200,Cá hồi kiểu âu | 200g,TP014,TP014,Cá hồi ??,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,76
7efe48a3-0ed9-50b7-a4e4-ed5bb91516d7,AUTO-0075,DH0016,2026-03-22,Chị Dung (A.Đức),Ứ́c gà gừng tỏi,200g,1,200,Ứ́c gà gừng tỏi | 200g,TP003,TP003,Ứ́c gà gừng tỏi,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,77
1e0b4fb3-f937-50bf-a26b-82a599e64dae,AUTO-0076,DH0016,2026-03-22,Chị Dung (A.Đức),Ức gà cajun,200g,1,200,Ức gà cajun | 200g,TP001,TP001,Ức gà cajun,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,78
02256bd6-29e4-523a-85d2-a08a509ee638,AUTO-0077,DH0016,2026-03-22,Chị Dung (A.Đức),Nạ̣c heo tây bắc,200g,1,200,Nạ̣c heo tây bắc | 200g,TP015,TP015,Nạ̣c heo tây bắc,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,79
301930f9-66ab-5522-853b-bfaca169a70d,AUTO-0078,DH0016,2026-03-22,Chị Dung (A.Đức),Thăn bò tây bắc,200g,1,200,Thăn bò tây bắc | 200g,TP016,TP016,Thăn bò tây bắc,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,80
0a6483d7-7857-5137-aa09-744136276aa2,AUTO-0079,DH0017,2026-03-23,Chị Oanh (Q11),Ức gà cajun,200g,1,200,Ức gà cajun | 200g,TP001,TP001,Ức gà cajun,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,81
e015ccd2-b1dd-5508-979f-f1c0dc165e14,AUTO-0080,DH0017,2026-03-23,Chị Oanh (Q11),Ức gà sả chanh,200g,1,200,Ức gà sả chanh | 200g,TP017,TP017,Ức gà sả chanh,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,82
0fcc68d7-1b7d-54ea-947d-2e0af42dc59d,AUTO-0081,DH0017,2026-03-23,Chị Oanh (Q11),Ứ́c gà gừng tỏi,200g,1,200,Ứ́c gà gừng tỏi | 200g,TP003,TP003,Ứ́c gà gừng tỏi,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,83
64c3cec7-f143-5aaf-8bcb-8207d8199648,AUTO-0082,DH0017,2026-03-23,Chị Oanh (Q11),Ức gà̀ cà ri,200g,1,200,Ức gà̀ cà ri | 200g,TP004,TP004,Ức gà̀ cà ri,1,1,phần/gói,,,,,,,,,,CHỌN/TÁCH LÔ,84
